ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1,"ロボットに　めいれいを　あたえて\nうごかすことを　なんという？",算数,体育,プログラミング,図工,C
2,"「右にまがる」を　２かいすると\nどっちを　むくかな？",前,右,左,うしろ,D
3,"「まえにすすむ」の\nはんたいの　めいれいは？",右へ,左へ,うしろへ,とぶ,C
4,"まちがっている　めいれいを\nなおすことを　なんという？",デバッグ,バグ,ハグ,タグ,A
5,"コンピュータが　りかいできる\nことばは　どれ？",日本語,英語,０と１,フランス語,C
6,"「くりかえし」の　めいれいを\nつかうと　べんりなのは？",１かいだけ,なんども,たまに,１どもない,B
7,"めいれいが　ただしくないとき\nおきる　エラーのなまえは？",カ,ハエ,バグ,クモ,C
8,"「もし　あめなら　かさをもつ」\nあめがふったら　どうする？",かさをもつ,なにもしない,ぼうしのみ,くつをぬぐ,A
9,"「もし　あめなら　かさをもつ」\nはれだったら　どうする？",かさをもつ,なにもしない,カッパきる,ながぐつ,B
10,"ロボットが　うごくじゅんばんを\nきめるのは　だれ？",ロボット,人間,電池,テレビ,B
11,"ゲームの　キャラクターを\nうごかすのも　どれ？",まほう,ねんりき,プログラム,きあい,C
12,"データを　ほぞんする\n「はこ」のことを　なんという？",へんすう,ダンス,タンス,さんすう,A
13,"「１０かい　くりかえす」\nなんかい　やる？",１,５,１０,１００,C
14,"めいれいは　どのじゅんばんで\nうごくのが　ふつう？",下から上,上から下,右から左,ランダム,B
15,"インターネットを　つかうときの\nマナーは　どれ？",わるぐち,うそ,やさしさ,けんか,C
16,"じぶんの　パスワードは\nどうすれば　いい？",みんなにいう,かみに貼る,ひみつ,わすれる,C
17,"「ずっと　くりかえす」だと\nいつ　とまる？",すぐ,１分後,とまらない,明日,C
18,"プログラミングで　つかう\n「じょうけん」って　なに？",もし〜なら,くりかえし,おわり,はじめ,A
19,"がめんの　ちいさな　てんを\nなんという？",シミ,ドット,ゴミ,マル,B
20,"「３歩すすむ」を　２かいやると\nぜんぶで　なん歩？",３,５,６,２,C
21,"ひとの　さくひんを\nかってに　つかうのは？",よい,わるい,すこしなら,ばれなきゃ,B
22,"めいれいを　ブロックのように\nつなぐ　やりかたは？",ビジュアル,テキスト,ノート,メモ,A
23,"ロボットに　させられない\nことは　どれ？",けいさん,そうじ,あじみ,はしる,C
24,"「右をむく」を　４かいやると\nどっちを　むく？",もとどおり,うしろ,右,左,A
25,"「バグ」は　もともと\nなんの　いみ？",むし,とり,ねこ,いぬ,A
26,"めいれいを　パソコンに\nうちこむ　どうぐは？",マウス,キーボード,モニタ,プリンタ,B
27,"おとを　だしたいときは\nなにつかう？",マイク,スピーカ,カメラ,マウス,B
28,"じぶんの　かおじゃしんを\nネットに　のせるのは？",あんぜん,きけん,ふつう,だいじ,B
29,"「１びょう　まつ」を\nいれると　どうなる？",はやくなる,とまる,こわれる,きえる,B
30,"「スタートが　おされたとき」\nこれは　なに？",きっかけ,おわり,とちゅう,ミス,A
31,"プログラミングで　たいせつな\nちから　は？",うでぢから,かんがえる,あきらめる,ねる,B
32,"「Ａボタンが　おされたら」\nＡを　おさないと？",うごく,うごかない,こわれる,きえる,B
33,"「ループ」って\nどういう　いみ？",とまる,くりかえす,ジャンプ,走る,B
34,"めいれいを　ならべかえる\nことを　なんという？",れんしゅう,へんしゅう,ふくしゅう,じしゅう,B
35,"「へんすう」の　はこのなかみは\nかえられる？",はい,いいえ,たぶん,しらない,A
36,"すうじを　くらべて\n「おなじ」を　あらわすのは？",＝,＞,＜,＋,A
37,"ロボットの　「め」のかわり\nに　なるのは？",センサ,モータ,タイヤ,ネジ,A
38,"「サイコロを　ふる」ように\nかずを　きめるのは？",らんすう,さんすう,りか,しゃかい,A
39,"がめんに　でてくる\nキャラクターを　なんという？",スプライト,コーラ,サイダー,ファンタ,A
40,"「ｘ（エックス）」は\nどっちの　むき？",よこ,たて,ななめ,うら,A
41,"「ｙ（ワイ）」は\nどっちの　むき？",たて,よこ,まえ,した,A
42,"おとを　ろくおん　する\nどうぐは　どれ？",マイク,マウス,センサ,ライト,A
43,"じぶんで　えをかく\nツールは　どれ？",ペイント,ポイント,パイント,プリント,A
44,"めいれいを　コピーして\nふやすことを　なんという？",ふくせい,ぶんかい,はかい,ごみ,A
45,"コンピュータの　のうみそ\nみたいな　ぶひんは？",CPU,UFO,USB,LED,A
46,"うごきを　とめる\nめいれいは　どれ？",ストップ,ゴー,ラン,ジャンプ,A
47,"ネットにつなぐ　めに見えない\n電波（でんぱ）は？",Wi-Fi,Hi-Fi,Sci-Fi,お茶,A
48,"タブレットを　ゆびで\nさわる　そうさは？",タップ,キック,パンチ,チョップ,A
49,"プログラミングは\nだれが　できる？",だれでも,おとな,はかせ,お金持ち,A
50,"つくった　ゲームを\nどうすると　たのしい？",みんなに見せる,かくす,すてる,けす,A
