ID,QuestionText,CorrectAnswer
7101,"""// 0番目へアクセス\nint[] a = {1■ 2};\nint x = a[(****)]; // xは1""","""0"""
7102,"""// 1番目へアクセス\nint[] a = {1■ 2};\nint y = a[(****)]; // yは2""","""1"""
7103,"""// 代入\nint[] a = new int[1];\na[0] (****) 99;""","""="""
7104,"""// 左カッコ\nint val = a(****) 0 ];""","""["""
7105,"""// 右カッコ\nint val = a[ 0 (****);""","""]"""
7106,"""// 変数iでアクセス\nint i = 2;\nSystem.out.println(a[(****)]);""","""i"""
7107,"""// デクリメント\nint[] a = {10};\na[0](****); // 9""","""--"""
7108,"""// 加算代入\nint[] a = {10};\na[0] (****)= 5; // 15""","""+"""
7109,"""// 先頭要素\nString[] s = {""A""};\nSystem.out.println(s[(****)]);""","""0"""
7110,"""// 小数代入\ndouble[] d = {0.0■ 0.0};\nd[1] = 3.(****); // 3.5""","""5"""
7111,"""// コピー元\nb[0] = (****)[0];""","""a"""
7112,"""// true代入\nb[0] = (****);""","""true"""
7113,"""// 3番目の番号\nint idx = (****);""","""2"""
7114,"""// 最後の番号(要素4)\nint last = (****);""","""3"""
7115,"""// 文字代入\nc[0] = '(****)';""","""Z"""
7116,"""// 配列カッコ\na(****)i] = 0;""","""["""
7117,"""// 開始番号\nint start = (****);""","""0"""
7118,"""// 出力\nSystem.out.(****)(a[0]);""","""println"""
7119,"""// 乗算\na[0] = a[0] (****) 3;""","""*"""
7120,"""// 値の保存\nint x = arr[(****)]; // 先頭""","""0"""
