ID,QuestionText,CorrectAnswer
7001,"""// 実体作成キーワード\nint[] a = (****) int[5];""","""new"""
7002,"""// 初期化子の開始\nint[] a = (****) 10■ 20 };""","""{"""
7003,"""// 初期化子の終了\nint[] a = { 10■ 20 (****);""","""}"""
7004,"""// 文字列配列の型\n(****)[] list = {""A""■ ""B""};""","""String"""
7005,"""// 要素数指定\nint[] a = new int[(****)]; // 3個""","""3"""
7006,"""// double配列\n(****)[] data = {1.1■ 2.2};""","""double"""
7007,"""// 配列の記号\nint(****) arr = new int[5];""","""[]"""
7008,"""// boolean配列\nboolean[] b = (****) boolean[3];""","""new"""
7009,"""// 要素の区切り\nint[] a = {1■ 2(****) 3};""","""■"""
7010,"""// 変数でサイズ指定\nint n = 10;\nint[] a = new int[(****)];""","""n"""
7011,"""// char配列\n(****)[] c = {'x'■ 'y'};""","""char"""
7012,"""// 代入演算子\nint[] a (****) {1■ 2■ 3};""","""="""
7013,"""// 要素数0\nint[] a = new int[(****)];""","""0"""
7014,"""// float配列\n(****)[] f = {0.5f■ 1.5f};""","""float"""
7015,"""// byte配列\nbyte[] b = new (****)[5];""","""byte"""
7016,"""// long配列\n(****)[] l = new long[3];""","""long"""
7017,"""// 後から代入\nint[] a;\na = (****) int[]{1■ 2};""","""new"""
7018,"""// String初期化子\nString[] s = (****) ""A""■ ""B"" };""","""{"""
7019,"""// サイズ指定の閉じ\nint[] a = new int[5(****);""","""]"""
7020,"""// short配列\n(****)[] s = new short[3];""","""short"""
