ID,QuestionText,CorrectAnswer
7201,"""// 長さプロパティ\nint len = a.(****);""","""length"""
7202,"""// 継続条件\nfor(int i=0; i (****) a.length; i++)""","""<"""
7203,"""// 拡張for区切り\nfor(int x (****) numbers)""",""":"""
7204,"""// 末尾計算\nint last = a.length (****) 1;""","""-"""
7205,"""// 要素数5のとき\nint len = (****);""","""5"""
7206,"""// 拡張for宣言\nint[] arr = {1};\nfor((****) n : arr)""","""int"""
7207,"""// 範囲外例外\nArrayIndex(****)OfBoundsException""","""Out"""
7208,"""// 空配列長\nint[] a = {};\nint len = (****);""","""0"""
7209,"""// String拡張for\nString[] list = {""A""};\nfor((****) s : list)""","""String"""
7210,"""// null例外\n(****)PointerException""","""Null"""
7211,"""// インクリメント\nfor(int i=0; i<len; i(****))""","""++"""
7212,"""// lengthにカッコは\na.length() ではない""","""不要"""
7213,"""// 合計初期化\nint sum = (****);\nfor(int n : a) sum += n;""","""0"""
7214,"""// 要素表示\nfor(int n : list) System.out.println((****));""","""n"""
7215,"""// 再作成\na = (****) int[5];""","""new"""
7216,"""// lengthの型\n(****) len = a.length;""","""int"""
7217,"""// 最大インデックス\nint max = len - (****);""","""1"""
7218,"""// 開始値\nfor(int i=(****); i<len; i++)""","""0"""
7219,"""// プロパティ名\nint size = arr.(****);""","""length"""
7220,"""// 変数名\nfor(int (****) = 0; i < 5; i++)""","""i"""
