ID,QuestionText,CorrectAnswer
4300,"""// 0から4まで5回繰り返すための命令を(****)に書いてね\n(****) (int i = 0; i < 5; i++) {\n  System.out.println(i);\n}""",for
4301,"""// iが5「より小さい」あいだ続けるための記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n  // 処理\n}""",<
4302,"""int a = 5;\n// aの値を1増やす演算子を(****)に書いてね\na(****);\nSystem.out.println(a);""",++
4303,"""// 1から3まで繰り返すための命令を(****)に書いてね\n(****) (int j = 1; j <= 3; j++) {\n  System.out.println(j);\n}""",for
4304,"""int flag = 1;\n// 「もしflagが1なら」実行するための命令を(****)に書いてね\n(****) (flag == 1) {\n  System.out.println(""Start"");\n}""",if
4305,"""// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n  // 処理\n}""",int
4306,"""// 変数iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n  // 処理\n}""",++
4307,"""// iが5「より小さい」あいだ続けるための記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n  // 処理\n}""",<
4308,"""int x = 0;\n// xの値を1増やす演算子を(****)に書いてね\nx(****);\nSystem.out.println(x);""",++
4309,"""// 10から1まで繰り返すための命令を(****)に書いてね\n(****) (int k = 10; k > 0; k--) {\n  System.out.println(k);\n}""",for
4310,"""// ループのたびにiを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n  // 処理\n}""",++
4311,"""// 整数を入れる変数を宣言する型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n  // 処理\n}""",int
4312,"""int y = 8;\n// yの値を1減らす演算子を(****)に書いてね\ny(****);\nSystem.out.println(y);""",--
4313,"""// iが5「より小さい」あいだ続けるための記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n  // 処理\n}""",<
4314,"""int c = 2;\n// cの値を1増やす演算子を(****)に書いてね\nc(****);\nSystem.out.println(c);""",++
4315,"""// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n  // 処理\n}""",++
4316,"""// 1から10まで繰り返すための命令を(****)に書いてね\n(****) (int n = 1; n <= 10; n += 2) {\n  System.out.println(n);\n}""",for
4317,"""// 整数を入れる変数nを作るための型を(****)に書いてね\nfor ((****) n = 1; n <= 10; n++) {\n  // 処理\n}""",int
4318,"""int z = 10;\n// zの値を1減らす演算子を(****)に書いてね\nz(****);\nSystem.out.println(z);""",--
4319,"""// iが5「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n  // 処理\n}""",<
4320,"""// 5から1まで繰り返すための命令を(****)に書いてね\n(****) (int i = 5; i > 0; i--) {\n  System.out.println(i);\n}""",for
4321,"""// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n  // 処理\n}""",int
4322,"""int count = 5;\n// countを1減らす演算子を(****)に書いてね\ncount(****);\nSystem.out.println(count);""",--
4323,"""// iに3を足し合わせる演算子を(****)に書いてね\nfor (int i = 0; i <= 6; i (****) 3) {\n  // 処理\n}""",+=
4324,"""int x = 0; x++;\n// 整数を入れる変数を宣言する型を(****)に書いてね\n(****) typeX = x;""",int
4325,"""// iが5「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n  // 処理\n}""",<
4326,"""int x = 5;\n// 「もしxが5なら」実行するための命令を(****)に書いてね\n(****) (x == 5) {\n  System.out.println(""Match"");\n}""",if
4327,"""// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n  // 処理\n}""",int
4328,"""int m = 1;\n// mを1減らす演算子を(****)に書いてね\nm(****);\nSystem.out.println(m);""",--
4329,"""// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n  // 処理\n}""",++
4330,"""// 0から3まで繰り返すための命令を(****)に書いてね\n(****) (int i = 0; i < 4; i++) {\n  System.out.println(i);\n}""",for
4331,"""int data = 100;\n// 整数を入れる変数valを作るための型を(****)に書いてね\n(****) val = data;""",int
4332,"""// iが5「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n  // 処理\n}""",<
4333,"""int d = 9;\n// dを1増やす演算子を(****)に書いてね\nd(****);\nSystem.out.println(d);""",++
4334,"""// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n  // 処理\n}""",int
4335,"""// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n  // 処理\n}""",++
4336,"""int s1 = 2;\nint s2 = 5;\n// s1がs2「より小さい」なら正しい(true)となる記号\nboolean check = (s1 (****) s2);""",<
4337,"""int flag = 1;\n// 条件分岐をするための命令\n(****) (flag == 0) {\n  System.out.println(""Zero"");\n}""",if
