ID,QuestionText,CorrectAnswer
5101,// 0から1まで繰り返すための命令を(****)に書いてね\n(****) (int i = 0; i < 2; i++) {\n    System.out.println(i);\n},for
5102,// iが2「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 2; i++) {\n    // 処理\n},<
5103,// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 2; i(****)) {\n    // 処理\n},++
5104,for (int i = 0; i < 10; i++) {\n    // ループを途中でやめる（脱出する）命令を(****)に書いてね\n    if (i == 5) (****);\n},break
5105,for (int i = 0; i < 10; i++) {\n    // 今回の処理を飛ばして、次の回に進む命令を(****)に書いてね\n    if (i % 2 != 0) (****);\n    System.out.println(i);\n},continue
5106,// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 10; i++) {\n    // 処理\n},int
5107,// ループを途中で強制的に終わらせる命令を(****)に書いてね\n// (****),break
5108,// 今回の処理を中断して、次の回の先頭へ進む命令を(****)に書いてね\n// (****),continue
5109,// iが10「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 10; i++) {\n    // 処理\n},<
5110,// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 10; i(****)) {\n    // 処理\n},++
5111,while (true) {\n    // 無限ループから抜け出す命令を(****)に書いてね\n    if (condition) (****);\n},break
5112,for (int i=0; i<10; i++) {\n    // 特定の条件のとき処理を飛ばす命令を(****)に書いてね\n    if (condition) (****);\n},continue
5113,// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 10; i++) {\n    // 処理\n},int
5114,// 1から2まで繰り返すための命令を(****)に書いてね\n(****) (int i = 1; i < 3; i++) {\n    System.out.println(i);\n},for
5115,// iが3「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 1; i (****) 3; i++) {\n    // 処理\n},<
5116,while (true) {\n    // ループから脱出する命令を(****)に書いてね\n    if (error) (****);\n},break
5117,for (Integer x : list) {\n    // 次の要素へ進む（今回の処理は飛ばす）命令を(****)に書いてね\n    if (x == null) (****);\n},continue
5118,// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n    // 処理\n},++
5119,// 0から4まで繰り返すための命令を(****)に書いてね\n(****) (int j = 0; j < 5; j++) {\n    System.out.println(j);\n},for
5120,// 整数を入れる変数jを作るための型を(****)に書いてね\nfor ((****) j = 0; j < 5; j++) {\n    // 処理\n},int
5121,for (int i=0; i<5; i++) {\n    // 処理を飛ばして次へ進む命令を(****)に書いてね\n    if (skip) (****);\n},continue
5122,// switch文やループから抜け出す命令を(****)に書いてね\n// (****),break
5123,// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n    // 処理\n},++
5124,// iが5「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n    // 処理\n},<
5125,// 20を3で割った「余り」を計算する記号を(****)に書いてね\nint rem = 20 (****) 3;,%
5126,// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n    // 処理\n},int
5127,// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n    // 処理\n},++
5128,// iが5「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 5; i++) {\n    // 処理\n},<
5129,// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 5; i++) {\n    // 処理\n},int
5130,// iを1増やす演算子を(****)に書いてね\nfor (int i = 0; i < 5; i(****)) {\n    // 処理\n},++
5131,while (running) {\n    // ループを終了して脱出する命令を(****)に書いてね\n    if (exit) (****);\n},break
5132,for (int i=0; i<10; i++) {\n    // 今回の処理を中断して、ループの先頭に戻る命令を(****)に書いてね\n    if (retry) (****);\n},continue
5133,// 整数を入れる変数iを作るための型を(****)に書いてね\nfor ((****) i = 0; i < 10; i++) {\n    // 処理\n},int
5134,// iが10「より小さい」か調べる記号を(****)に書いてね\nfor (int i = 0; i (****) 10; i++) {\n    // 処理\n},<
5135,// ループを強制的に終わらせる命令を(****)に書いてね\n// (****),break
5136,// 次の回へ進む命令を(****)に書いてね\n// (****),continue
