ID,QuestionText,CorrectAnswer
3001,"""int score = 54;\nint limit = 50;\n// scoreがlimit「より大きい」かどうか調べる記号を(****)に書いてね\nif (score (****) limit) {\n    System.out.println(""Over limit"");\n}""",""">"""
3002,"""int score = 85;\n// 「もしscoreが80より大きいなら」実行するための命令を(****)に書いてね\n(****) (score > 80) {\n    System.out.println(""Pass"");\n}""","""if"""
3003,"""int count = 5;\n// 処理ブロックの始まりを表す記号（中かっこ）を(****)に書いてね\nif (count > 0) (****)\n    System.out.println(""Start"");\n}""","""{"""
3004,"""int a = 5;\nint b = 10;\n// aとbが「等しくない（違う）」ことを調べる記号を(****)に書いてね\nif (a (****) b) {\n    System.out.println(""Different"");\n}""","""!="""
3005,"""int count = 15;\nint max = 10;\n// countがmax「より大きい」かどうか調べる記号を(****)に書いてね\nif (count (****) max) {\n    System.out.println(""Above max"");\n}""",""">"""
3006,"""int apple = 7;\nint orange = 7;\n// appleとorangeが「等しい（同じ）」かどうか調べる記号を(****)に書いてね\nif (apple (****) orange) {\n    System.out.println(""Equal amount"");\n}""","""=="""
3007,"""int level = 20;\n// levelが20「以上（同じか大きい）」かどうか調べる記号を(****)に書いてね\nif (level (****) 20) {\n    System.out.println(""High Level"");\n}""",""">="""
3008,"""int num = 5;\n// 条件が正しいときに実行するための命令を(****)に書いてね\n(****) (num > 0) {\n    System.out.println(""Positive"");\n}""","""if"""
3009,"""int x = 9;\nint y = 9;\n// xとyが「等しい」ことを調べる記号を(****)に書いてね\nif (x (****) y) {\n    System.out.println(""Match"");\n}""","""=="""
3010,"""int price = 5;\nint wallet = 8;\n// priceがwallet「以下（同じか小さい）」かどうか調べる記号を(****)に書いてね\nif (price (****) wallet) {\n    System.out.println(""Can buy"");\n}""","""<="""
3011,"""int val = 10;\n// if文のブロックの始まりを表す記号（中かっこ）を(****)に書いてね\nif (val == 10) (****)\n    System.out.println(""Ten"");\n}""","""{"""
3012,"""int stock = 10;\n// stockが0と「等しくない」ことを調べる記号を(****)に書いてね\nif (stock (****) 0) {\n    System.out.println(""In stock"");\n}""","""!="""
3013,"""int first = 4;\nint second = 6;\n// firstがsecond「より小さい」かどうか調べる記号を(****)に書いてね\nif (first (****) second) {\n    System.out.println(""Smaller"");\n}""","""<"""
3014,"""int speed = 60;\n// speedが50「より大きい」なら実行するための命令を(****)に書いてね\n(****) (speed > 50) {\n    System.out.println(""Fast"");\n}""","""if"""
3015,"""int a = 1;\nint b = 2;\n// aとbが「等しくない」なら正しいとする記号を(****)に書いてね\nif (a (****) b) {\n    System.out.println(""Not Same"");\n}""","""!="""
3016,"""int x = 8;\nint y = 5;\n// xがy「以上」なら正しいとする記号を(****)に書いてね\nif (x (****) y) {\n    System.out.println(""OK"");\n}""",""">="""
3017,"""int p = 12;\nint q = 10;\n// pがq「より大きい」なら正しいとする記号を(****)に書いてね\nif (p (****) q) {\n    System.out.println(""P is big"");\n}""",""">"""
3018,"""int r = 3;\nint s = 7;\n// rがs「より小さい」なら正しいとする記号を(****)に書いてね\nif (r (****) s) {\n    System.out.println(""Small"");\n}""","""<"""
3019,"""int t = 100;\nint u = 100;\n// tとuが「等しい」なら正しいとする記号を(****)に書いてね\nif (t (****) u) {\n    System.out.println(""Equal"");\n}""","""=="""
3020,"""int num = 1;\n// ブロックの始まりを表す記号（中かっこ）を(****)に書いてね\nif (num == 1) (****)\n    System.out.println(""One"");\n}""","""{"""
3021,"""int v = 1;\nint w = 1;\n// vがw「以下」なら正しいとする記号を(****)に書いてね\nif (v (****) w) {\n    System.out.println(""Ok"");\n}""","""<="""
3022,"""int y = 0;\nint z = 1;\n// yとzが「等しくない」なら正しいとする記号を(****)に書いてね\nif (y (****) z) {\n    System.out.println(""Not same"");\n}""","""!="""
3023,"""int p1 = 50;\nint p2 = 49;\n// p1がp2「より大きい」なら正しいとする記号を(****)に書いてね\nif (p1 (****) p2) {\n    System.out.println(""Large"");\n}""",""">"""
3024,"""int q1 = 10;\nint q2 = 8;\n// q1がq2「以上」なら正しいとする記号を(****)に書いてね\nif (q1 (****) q2) {\n    System.out.println(""High"");\n}""",""">="""
3025,"""int r1 = 15;\nint r2 = 15;\n// r1がr2「以下」なら正しいとする記号を(****)に書いてね\nif (r1 (****) r2) {\n    System.out.println(""Within range"");\n}""","""<="""
3026,"""int s1 = 2;\nint s2 = 5;\n// s1がs2「より小さい」なら正しいとする記号を(****)に書いてね\nif (s1 (****) s2) {\n    System.out.println(""A is smaller"");\n}""","""<"""
3027,"""int mode = 1;\n// 条件分岐をするための命令を(****)に書いてね\n(****) (mode == 1) {\n    System.out.println(""Active"");\n}""","""if"""
3028,"""int data = 10;\n// ブロックを閉じる記号を(****)に書いてね\nif (data > 0) {\n    System.out.println(""Ok"");\n(****)""","""}"""
3029,"""int score = 80;\n// 「もしscoreが100と等しいなら」と書くための記号を(****)に書いてね\nif (score (****) 100) {\n    System.out.println(""Perfect"");\n}""","""=="""
3030,"""int count = 5;\n// ifの後ろの条件式を囲むための終わり記号を(****)に書いてね\nif (count > 0 (****) {\n    System.out.println(""Positive"");\n}""",""")"""
3031,"""int count = 1;\n// 画面に「1」を出す命令の一部を(****)に書いてね\nSystem.out.(****)ln(count);""","""print"""
3032,"""boolean isOk = true;\n// ifの条件が正しければブロックの「中」を実行します。始まりの記号は(****)です\nif (isOk) (****)\n    System.out.println(""Hello"");\n}""","""{"""
3033,"""int count = 10;\n// countが10ではない場合に実行したい。等しくないことを表す記号は(****)です\nif (count (****) 10) {\n    System.out.println(""Not Ten"");\n}""","""!="""
3034,"""int age = 15;\n// ageが20より小さい「あいだ」ではなく、「もし20より小さいなら」の命令は(****)です\n(****) (age < 20) {\n    System.out.println(""Young"");\n}""","""if"""
