ID,QuestionText,CorrectAnswer
3201,// 両方正しいならtrueになる「かつ」の記号を(****)に書いてね\nboolean b = (true (****) false);,&&
3202,// どっちか一つでも正しいならtrueになる「または」の記号を(****)に書いてね\nboolean b = (true (****) false);,||
3203,// 結果を反対（trueならfalse）にする「否定」の記号を(****)に書いてね\nboolean b = (****) (5 == 5);,!
3204,// 両方の条件を満たす「かつ」の記号を(****)に書いてね\nboolean b = (5 > 3 (****) 1 < 0);,&&
3205,// どちらかの条件を満たす「または」の記号を(****)に書いてね\nboolean b = (5 > 3 (****) 1 < 0);,||
3206,// 10を3で割った「余り」を求める記号を(****)に書いてね\nint result = 10 (****) 3;,%
3207,// 条件Aと条件Bの両方が正しいときの記号を(****)に書いてね\nif (conditionA (****) conditionB) { ... },&&
3208,// 結果を反対にする「否定」の記号を(****)に書いてね\nboolean b = (****) (10 != 5);,!
3209,// 両方ともtrueの場合にtrueとなる記号を(****)に書いてね\nboolean b = (true (****) true);,&&
3210,// どちらか片方でもtrueならtrueとなる記号を(****)に書いてね\nboolean b = (condA (****) condB);,||
3211,// 両方の条件を満たす必要があるときの記号を(****)に書いてね\nif (isValid (****) isReady) { ... },&&
3212,// どちらかの条件を満たせばよいときの記号を(****)に書いてね\nif (isAdmin (****) isManager) { ... },||
3213,// 「かつ」を表す記号を(****)に書いてね\nboolean b = (1 == 1 (****) 2 == 2);,&&
3214,// trueを「反対」にする記号を(****)に書いてね\nboolean b = (****) (true);,!
3215,// 15を4で割った「余り」を求める記号を(****)に書いてね\nint rem = 15 (****) 4;,%
3216,// 条件A または 条件B を表す記号を(****)に書いてね\nif (A (****) B) { ... },||
3217,// false かつ true を調べる記号を(****)に書いてね\nboolean b = (false (****) true);,&&
3218,// 結果を「反対」にする記号を(****)に書いてね\nboolean b = (****) (10 > 5);,!
3219,// A または B を表す記号を(****)に書いてね\nboolean b = (A (****) B);,||
3220,// 結果を反対（否定）する記号を(****)に書いてね\nboolean isTrue = (****) (3 > 5);,!
