ID,QuestionText,CorrectAnswer
3301,"int x = 10;\n// 三項演算子：条件がダメだったときの値を区切る記号を(****)に書いてね\nString result = (x > 0) ? ""Positive"" (****) ""Negative"";",:
3302,"int x = 10;\n// 三項演算子：条件式のすぐ後ろに書く記号を(****)に書いてね\nString result = (x > 0) (****) ""P"" : ""N"";",?
3303,"boolean isAdult = true;\n// 三項演算子：真と偽の値を区切る記号を(****)に書いてね\nString msg = (isAdult) ? ""成人"" (****) ""未成年"";",:
3304,int x;\n// 三項演算子：真と偽の値を区切る記号を(****)に書いてね\nx = (5 > 1) ? 10 (****) 20;,:
3305,"boolean isReady = false;\n// if文で条件がダメだったときに実行する命令を(****)に書いてね\nif (isReady) {\n    System.out.println(""Ready"");\n} (****) {\n    System.out.println(""Not Ready"");\n}",else
3306,"int score = 85;\n// 三項演算子の条件式のすぐ後ろに来る記号を(****)に書いてね\nString status = (score >= 80) (****) ""Pass"" : ""Fail"";",?
3307,int max;\n// 三項演算子を始める記号を(****)に書いてね\nmax = (10 > 5) (****) 10 : 5;,?
3308,int y = 4;\n// 三項演算子を始める記号を(****)に書いてね\nint res = (y % 2 == 0) (****) 0 : 1;,?
3309,// 11を2で割った「余り」を求める記号を(****)に書いてね\nint remainder = 11 (****) 2;,%
3310,"boolean flag = false;\n// 条件がダメだったときに実行する命令を(****)に書いてね\nif (flag) {\n    System.out.println(""Yes"");\n} (****) {\n    System.out.println(""No"");\n}",else
3311,"int count = 0;\n// 三項演算子で値を区切る記号を(****)に書いてね\nString msg = (count == 0) ? ""Empty"" (****) ""Full"";",:
3312,"boolean isDone = false;\n// 条件がダメだったときに実行する命令を(****)に書いてね\nif (isDone) {\n    System.out.println(""Done"");\n} (****) {\n    System.out.println(""Not Done"");\n}",else
3313,int val;\n// 三項演算子で値を区切る記号を(****)に書いてね\nval = (false) ? 100 (****) 0;,:
3314,"int x = 5;\n// 三項演算子の開始記号を(****)に書いてね\nString s = (x < 10) (****) ""Small"" : ""Large"";",?
3315,"// 改行付きで出力する命令を(****)に書いてね\nSystem.out.(****)(""Test"");",println
3316,"boolean isValid = false;\n// 条件がダメだったときに実行する命令を(****)に書いてね\nif (isValid) {\n    System.out.println(""OK"");\n} (****) {\n    System.out.println(""NG"");\n}",else
3317,boolean isOdd = true;\n// 三項演算子の開始記号を(****)に書いてね\nint num = (isOdd) (****) 1 : 2;,?
3318,int x;\n// 三項演算子で値を区切る記号を(****)に書いてね\nx = (10 > 10) ? 1 (****) 0;,:
3319,"boolean res = true;\n// 条件がダメだったときに実行する命令を(****)に書いてね\nif (res == false) {\n    System.out.println(""F"");\n} (****) {\n    System.out.println(""T"");\n}",else
