ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
6101,"""// 先頭要素の表示\nint[] a = {10■ 20};\nSystem.out.println(____); // 10""","""a[1]""","""a[0]""","""a(0)""","""a{0}""",B
6102,"""// 2番目の要素\nint[] a = {10■ 20};\nSystem.out.println(____); // 20""","""a[2]""","""a[0]""","""a[1]""","""a[-1]""",C
6103,"""// 最後のインデックス\nint[] a = {5■ 6■ 7};\n// 7を取り出す番号は？""","""0""","""1""","""2""","""3""",C
6104,"""// 要素への代入\nint[] a = {10};\na[0] = 99;\nSystem.out.println(a[0]); // 出力: ____""","""10""","""0""","""1""","""99""",D
6105,"""// String配列\nString[] s = {""Hi""■ ""Bye""};\nSystem.out.println(s[0]); // 出力: ____""","""Bye""","""s""","""null""","""Hi""",D
6106,"""// 計算利用\nint[] a = {2■ 3};\nint x = a[0] * a[1];\nSystem.out.println(x); // 出力: ____""","""5""","""23""","""0""","""6""",D
6107,"""// インクリメント\nint[] a = {0};\na[0]++;\nSystem.out.println(a[0]); // 出力: ____""","""0""","""null""","""2""","""1""",D
6108,"""// 変数インデックス\nint[] a = {10■ 20};\nint i = 1;\nSystem.out.println(a[i]); // 出力: ____""","""10""","""20""","""1""","""i""",B
6109,"""// 範囲外アクセス\nint[] a = {10};\n// a[1] = 20; の結果は？""","""例外発生""","""配列拡張""","""無視""","""0代入""",A
6110,"""// 負のインデックス\nint[] a = {10};\n// a[-1] = 20; の結果は？""","""最後尾""","""先頭""","""無視""","""例外発生""",D
6111,"""// char配列\nchar[] c = {'A'■ 'B'};\nc[1] = 'Z';\nSystem.out.println(c[1]); // 出力: ____""","""B""","""A""","""Z""","""C""",C
6112,"""// double配列\ndouble[] d = {1.5};\nd[0] += 0.5;\nSystem.out.println(d[0]); // 出力: ____""","""1.5""","""0.5""","""2.0""","""1.0""",C
6113,"""// コピー代入\nint[] a = {5■ 10};\na[0] = a[1];\nSystem.out.println(a[0]); // 出力: ____""","""5""","""10""","""0""","""15""",B
6114,"""// 代入式の値\nint[] a = {1};\nint x = (a[0] = 5);\nSystem.out.println(x); // 出力: ____""","""1""","""0""","""true""","""5""",D
6115,"""// 演算順序\nint[] a = {10};\na[0] = a[0] + 1 * 2;\nSystem.out.println(a[0]); // 出力: ____""","""12""","""22""","""20""","""11""",A
6116,"""// 文字列結合\nString[] s = {""A""};\ns[0] = s[0] + ""B"";\nSystem.out.println(s[0]); // 出力: ____""","""A""","""B""","""BA""","""AB""",D
6117,"""// 入れ替え\nint[] a = {1■ 2};\nint t = a[0];\na[0] = a[1];\na[1] = t;\n// a[0]は？""","""1""","""0""","""t""","""2""",D
6118,"""// 論理反転\nboolean[] b = {false};\nb[0] = !b[0];\nSystem.out.println(b[0]); // 出力: ____""","""false""","""0""","""1""","""true""",D
6119,"""// 上書き\nint[] a = {0};\na[0] = 1;\na[0] = 2;\nSystem.out.println(a[0]); // 出力: ____""","""1""","""2""","""0""","""3""",B
6120,"""// 乗算代入\nint[] a = {10};\na[0] *= 2;\nSystem.out.println(a[0]); // 出力: ____""","""10""","""12""","""2""","""20""",D
