ID,QuestionText,CorrectAnswer,
7101,"int型配列の変数pricesを宣言するための記号を書きなさい。 int(****) prices;",[],
7102,"5個の要素を入れる領域を新しく確保するためのキーワードを書きなさい。 int[] data = (****) int[5];",new,
7103,"配列numsの1番目の要素（インデックス0）に10を代入する記号を書きなさい。 nums[0] (****) 10;",=,
7104,"配列の初期化で値をまとめて入れるための開始記号を書きなさい。 int[] points = (****) 80■ 90 };",{,
7105,"配列aの全要素を処理するループで「長さより小さい間」を表す記号を書きなさい。 for (int i = 0; i (****) a.length; i++)",<,
7106,"配列itemsの「3番目」の箱にアクセスするためのインデックス番号を書きなさい。 String name = items[(****)];",2,
7107,"配列の長さを取得するためのプロパティ名を書きなさい。 int size = targets.(****);",length,
7108,"0番目の要素に変数valの値を代入する際の左側の括弧を書きなさい。 arr(****)0] = val;",[,
7109,"配列の「1番目」の要素を指すインデックス番号を書きなさい。 int first = a[(****)];",0,
7110,"for文を使って配列の全要素を表示する際インデックスとして使う変数を書きなさい。 System.out.println(a[(****)]);",i,
7111,"String型の配列変数を宣言する際に型の後ろに書く記号を書きなさい。 String(****) names;",[],
7112,"10個の要素を持つ配列を作成する際に(****)に入る数値を書きなさい。 int[] list = new int[(****)];",10,
7113,"for文のループを開始する際の最初のインデックス番号を書きなさい。 for (int i = (****); i < a.length; i++)",0,
7114,"初期化リストの最後を閉じるための記号を書きなさい。 int[] scores = { 10■ 20 (****);",},
7115,"配列の要素数が5のとき最後の要素のインデックス番号を書きなさい。 a[(****)] = 100;",4,
7116,"インデックスiを1ずつ増やすための演算子を書きなさい。 for (int i = 0; i < a.length; i(****))",++,
7117,"double型の配列を生成するためのキーワードを書きなさい。 double[] rates = (****) double[3];",new,
7118,"配列aの0番目と1番目の値を足すために(****)に入る数値を書きなさい。 int sum = a[0] + a[(****)];",1,
7119,"3個の要素を持つ配列aを初期化する際の(****)に入る数値を書きなさい。 int[] a = new int[(****)];",3,
7120,"配列の2番目の箱にアクセスするための右側の括弧を書きなさい。 int val = data[1(****);",],
7121,"String型の配列を作成するために(****)に入る型名を書きなさい。 String[] s = new (****)[5];",String,
7122,"配列の全要素を合計するループで各要素を取り出すための記述を書きなさい。 sum += nums[(****)];",i,
7123,"変数nをint配列として宣言する記号を書きなさい。 int(****) n;",[],
7124,"中身を{10■ 20}で初期化する際の開始記号を書きなさい。 int[] a = (****) 10■ 20 };",{,
7125,"要素数3で作られた配列の最大のインデックス番号を書きなさい。 a[(****)] = 50;",2,
7126,"配列の長さを出力するために(****)に入る単語を書きなさい。 System.out.println(data.(****));",length,
7127,"配列aの0番目の要素を1増やす演算子を書きなさい。 a[0](****);",++,
7128,"要素数1の配列を作成するための数値を書きなさい。 String[] s = new String[(****)];",1,
7129,"配列の各要素を順番に処理する制御構文のキーワードを書きなさい。 (****) (int i = 0; i < a.length; i++)",for,
7130,"boolean型の配列を宣言するための記号を書きなさい。 boolean(****) flags;",[],
7131,"3番目の要素にアクセスするためのインデックスを書きなさい。 int val = a[(****)];",2,
7132,"配列の「3番目」に値を代入するためのインデックス番号を書きなさい。 nums[(****)] = 300;",2,
7133,"newキーワードの後に指定する作成するデータの型を書きなさい。 int[] a = new (****)[10];",int,
7134,"配列の要素数を使ってループ継続条件を指定するためのプロパティを書きなさい。 i < scores.(****)",length,
7135,"最初の要素を指すためのインデックスを書きなさい。 a[(****)] = 10;",0,
7136,"空の配列（要素数0）を作るための数値を書きなさい。 int[] empty = new int[(****)];",0,
7137,"配列xのインデックスi番目に値を代入する記号を書きなさい。 x[i] (****) 100;",=,
7138,"文字列を配列の0番目に代入するためのインデックスを書きなさい。 s[(****)] = ""Hello"";",0,
7139,"配列の長さを変数lenに代入するためのプロパティ名を書きなさい。 int len = a.(****);",length,
7140,"配列作成時にメモリを確保するキーワードを書きなさい。 int[] b = (****) int[5];",new,
7141,"配列の値を囲む記号の右側（終了記号）を書きなさい。 int[] n = { 5■ 10 (****);",},
7142,"要素数2の配列の2番目のインデックス番号を書きなさい。 a[(****)] = 99;",1,
7143,"配列の作成と同時に中身を決めるための開始記号を書きなさい。 int[] n = (****) 1 };",{,
7144,"配列の型を示す際の名前の後ろにつける記号を書きなさい。 float(****) f;",[],
7145,"配列の最後の要素を指すための右側の括弧を書きなさい。 int last = a[a.length - 1(****);",],
7146,"for文でiを0から1ずつ増やすための記述を書きなさい。 for (int i = 0; i < 5; i(****))",++,
7147,"配列の「4番目」の要素にアクセスするためのインデックス番号を書きなさい。 a[(****)] = 50;",3,
7148,"配列の最初の箱に値を代入するためのインデックス番号を書きなさい。 a[(****)] = 1;",0,
7149,"配列の長さを判定するプロパティを書きなさい。 i < arr.(****)",length,
7150,"配列を新しく生成する際のキーワードを書きなさい。 int[] a = (****) int[4];",new,
,,,
