ID,QuestionText,CorrectAnswer
3101,"""// 「もし〜なら」という判断を行うためのキーワードを(****)に書いてね\n(****) (hp == 0) {\n    System.out.println(""Game Over"");\n}""",if
3102,"""// 変数 x が 10 より大きいかを判断する命令の書き始めを(****)に書いてね\n(****) (x > 10) { ... }""",if
3103,"""// 条件に一致した時だけ動くブロックを作るためのキーワード(****)を書いてね\n(****) (score >= 80) { ... }""",if
3104,"""// 条件に合わなかった「それ以外」の時に動かす命令のキーワードを(****)に書いてね\nif (x > 0) { } (****) { ... }""",else
3105,"""// 最初のifがfalseだった時、最後に必ず実行される道を(****)で指定してね\nif (a) { } (****) { ... }""",else
3106,"""// どの条件にも当てはまらない「最後の砦」となる命令キーワードは？\nif (a) { } else if (b) { } (****) { }""",else
3107,"""// 1つ目の条件がダメで、2つ目の条件(x == 5)をチェックする命令を(****)に書いてね\nif (x == 1) { } (****) (x == 5) { }""","else if"
3108,"""// 複数の道に分ける時、if と else の間に挟む命令キーワードは？\nif (score >= 90) { } (****) (score >= 60) { }""","else if"
3109,"""// 最初の判断が外れた後、別の条件で再チェックするための命令を(****)に書いてね\nif (a) { } (****) (b) { }""","else if"
3110,"""// 変数 a と b が「同じ」であることを調べる記号を(****)に書いてね\nif (a (****) b) { ... }""",==
3111,"""// 文字列 weather が ""Sunny"" と「同じ」か比べる記号を(****)に書いてね\nif (weather (****) ""Sunny"") { ... }""",==
3112,"""// flag の中身が true と「等しい」かを確認する記号を(****)に書いてね\nif (flag (****) true) { ... }""",==
3113,"""// 変数 x が 0 「ではない」ことを調べる記号を(****)に書いてね\nif (x (****) 0) { ... }""",!=
3114,"""// password が ""1234"" 「ではない」ことを確認する記号を(****)に書いてね\nif (password (****) ""1234"") { ... }""",!=
3115,"""// state が 99 「ではない」場合を判定する記号を(****)に書いてね\nif (state (****) 99) { ... }""",!=
3116,"""// score が 100 「より大きい」ことを調べる記号を(****)に書いてね\nif (score (****) 100) { ... }""",>
3117,"""// level が 5 「を超える（5は含まない）」ことを調べる記号を(****)に書いてね\nif (level (****) 5) { ... }""",>
3118,"""// num が 0 より大きい（プラスである）ことを判定する記号を(****)に書いてね\nif (num (****) 0) { ... }""",>
3119,"""// hp が 10 「未満（10は含まない）」であることを調べる記号を(****)に書いてね\nif (hp (****) 10) { ... }""",<
3120,"""// age が 20 より小さいことを判定する記号を(****)に書いてね\nif (age (****) 20) { ... }""",<
3121,"""// count が 5 に満たないことを確認する記号を(****)に書いてね\nif (count (****) 5) { ... }""",<
3122,"""// score が 60 「以上（60を含む）」であることを調べる記号を(****)に書いてね\nif (score (****) 60) { ... }""",>=
3123,"""// age が 18 以上かどうかを判定する記号を(****)に書いてね\nif (age (****) 18) { ... }""",>=
3124,"""// stock が 1 以上（在庫あり）か判定する記号を(****)に書いてね\nif (stock (****) 1) { ... }""",>=
3125,"""// point が 10 「以下（10を含む）」であることを調べる記号を(****)に書いてね\nif (point (****) 10) { ... }""",<=
3126,"""// limit が 100 以下であることを判定する記号を(****)に書いてね\nif (limit (****) 100) { ... }""",<=
