ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
4001,for (int i = 0; i < 3; i++) {\n System.out.print(i);\n},12,123,123,0,A
4002,"for (int i = 1; i <= 2; i++) {\n System.out.print(""A"");\n}",A,AA,AAA,AAAA,B
4003,int sum = 0;\nfor (int i = 1; i <= 3; i++) {\n sum = sum + 1;\n}\nSystem.out.println(sum);,1,3,6,0,B
4004,for (int i = 4; i > 2; i--) {\n System.out.print(i);\n},43,432,32,4,A
4005,"for (int i = 1; i < 1; i++) {\n System.out.println(""Loop"");\n}",Loop,Loop\nLoop,何も表示されない,1,C
4006,int count = 1;\nfor (int i = 0; i < 2; i++) {\n count *= 2;\n}\nSystem.out.println(count);,2,4,8,1,B
4007,for (int j = 0; j < 4; j += 2) {\n System.out.print(j);\n},2,24,123,24,A
4008,for (int i = 1; i <= 1; i++) {\n System.out.print(i);\n},1,11,何も表示されない,2,A
4009,int x = 0;\nfor (int i = 0; i < 3; i++) {\n x++;\n}\nSystem.out.println(x);,0,3,1,2,B
4010,for (int i = 1; i < 5; i++) {\n if (i == 3) break;\n System.out.print(i);\n},12,123,124,1,A
4011,for (int i = 0; i < 5; i++) {\n if (i % 2 == 0) continue;\n System.out.print(i);\n},13,24,135,1234,A
4012,"for (int i = 0; i <= 0; i++) {\n System.out.print(""X"");\n}",X,XX,何も表示されない,0,A
4013,int total = 0;\nfor (int i = 1; i < 4; i++) {\n total += i;\n}\nSystem.out.println(total);,3,6,4,1,B
4014,for (int k = 5; k > 0; k--) {\n if (k == 3) continue;\n System.out.print(k);\n},5421,54321,54,3,A
4015,for (int l = 0; l <= 2; l++) {\n System.out.print(l);\n},12,123,12,2,A
4016,int y = 1;\nfor (int i = 0; i < 3; i++) {\n y *= 2;\n}\nSystem.out.println(y);,2,4,8,6,C
4017,for (int i = 1; i < 4; i++) {\n System.out.print(i);\n},123,1234,321,1,A
4018,for (int i = 10; i > 8; i--) {\n System.out.print(i);\n},109,1098,9,10,A
4019,for (int i = 0; i < 10; i += 3) {\n System.out.print(i);\n},36,369,369,123456789,B
4020,for (int j = 10; j >= 0; j -= 2) {\n System.out.print(j);\n},1086420,108642,86420,10,A
4021,int x = 0;\nfor (int i = 1; i <= 4; i *= 2) {\n x++;\n}\nSystem.out.println(x);,1,2,3,4,C
4022,for (int k = 1; k < 10; k *= 3) {\n System.out.print(k);\n},139,39,13,1,A
4023,int sum = 0;\nfor (int i = 10; i > 0; i -= 3) {\n sum++;\n}\nSystem.out.println(sum);,3,4,5,10,B
4024,for (int l = 0; l <= 6; l += 3) {\n System.out.print(l);\n},36,36,3,0,A
4025,int count = 10;\nfor (int i = 0; i < 2; i++) {\n count /= 2;\n}\nSystem.out.println(count);,5,2,2.5,1,B
4026,for (int m = 1; m <= 5; m++) {\n System.out.print(m);\n},12345,1234,1,5,A
4027,for (int n = 1; n < 2; n += 5) {\n System.out.print(n);\n},1,6,16,何も表示されない,A
4028,int total = 0;\nfor (int i = 0; i < 5; i += 2) {\n total += i;\n}\nSystem.out.println(total);,0,2,6,10,C
4029,for (int p = 16; p > 1; p /= 4) {\n System.out.print(p);\n},164,16,4,1641,A
4030,int x = 10;\nfor (int i = 0; i < 3; i++) {\n x--;\n}\nSystem.out.println(x);,7,10,3,0,A
4031,for (int q = 10; q <= 20; q += 5) {\n System.out.print(q);\n},1015,101520,1520,1020,B
4032,for (int r = 1; r < 5; r *= 2) {\n System.out.print(r);\n},12,124,13,1234,B
4033,int sum = 0;\nfor (int i = 1; i <= 5; i += 2) {\n sum += i;\n}\nSystem.out.println(sum);,9,7,5,3,A
4034,for (int s = 2; s <= 8; s *= 2) {\n System.out.print(s);\n},24,248,48,2,B
4035,int a = 10;\nfor (int i = 0; i < 1; i++) {\n a -= 3;\n}\nSystem.out.println(a);,10,7,3,13,B
4036,for (int t = 5; t >= 1; t -= 1) {\n System.out.print(t);\n},54321,5432,5,1,A
