ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
4201,int i = 0;\nwhile (i < 3) {\n System.out.print(i);\n i++;\n},12,123,123,0,A
4202,"int count = 5;\nwhile (count > 0) {\n System.out.print(""A"");\n count--;\n}",AAAAA,AAAA,A,何も表示されない,A
4203,int sum = 0;\nint j = 1;\nwhile (j <= 4) {\n sum += j;\n j++;\n}\nSystem.out.println(sum);,4,6,10,1,C
4204,int x = 0;\nwhile (x < 5) {\n x += 2;\n System.out.print(x);\n},24,246,24,2468,B
4205,"int k = 10;\nwhile (k > 5) {\n System.out.print(""X"");\n k -= 3;\n}",XX,XXX,X,XXXX,A
4206,int l = 1;\ndo {\n System.out.print(l);\n l++;\n} while (l < 3);,12,123,1,2,A
4207,"int m = 5;\nwhile (m < 5) {\n System.out.print(""Loop"");\n m++;\n}",Loop,Loop\nLoop,何も表示されない,5,C
4208,int n = 1;\nwhile (n < 5) {\n n *= 2;\n System.out.print(n);\n},24,248,124,1248,B
4209,int p = 1;\ndo {\n System.out.print(p);\n p++;\n} while (p < 1);,1,何も表示されない,1\n2,0,A
4210,int q = 10;\nwhile (q > 0) {\n q /= 3;\n System.out.print(q);\n},3,31,310,1,B
4211,int r = 0;\nwhile (r < 3) {\n r++;\n System.out.print(r);\n},123,12,3,1,A
4212,int s = 1;\nwhile (s <= 3) {\n if (s == 2) break;\n System.out.print(s);\n s++;\n},1,12,123,2,A
4213,int t = 0;\nwhile (t < 5) {\n t++;\n if (t % 2 == 0) continue;\n System.out.print(t);\n},135,13,24,12345,B
4214,"int u = 5;\nwhile (u > 0) {\n System.out.print(""""B"""");\n u -= 2;\n}",B,BBB,BB,BBBB,B
4215,int v = 1;\nwhile (v < 4) {\n System.out.print(v * 2);\n v++;\n},246,24,248,6,A
4216,int w = 3;\nwhile (w > 0) {\n w--;\n}\nSystem.out.println(w);,3,0,1,2,B
4217,int y = 5;\ndo {\n System.out.print(y);\n y++;\n} while (y < 5);,5,何も表示されない,6,56,A
4218,int z = 4;\nwhile (z > 1) {\n z--;\n System.out.print(z);\n},321,432,32,1,A
