ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
2301,"int a = 5;\nString result = (a > 5) ? ""A"" : ""B"";\nSystem.out.println(result);",A,B,5,エラー,B
2302,int x = 10;\nint y = (x == 10) ? 1 : 0;\nSystem.out.println(y);,1,0,10,エラー,A
2303,"int num = 3;\nif (num > 0) {\n if (num % 2 == 0) {\n System.out.println(""偶数"");\n } else {\n System.out.println(""奇数"");\n }\n} else {\n System.out.println(""ゼロ以下"");\n}",偶数,奇数,ゼロ以下,偶数\n奇数,B
2304,"int score = 75;\nString grade = (score >= 80) ? ""優"" : (score >= 70) ? ""良"" : ""可"";\nSystem.out.println(grade);",優,良,可,エラー,B
2305,"int temp = 25;\nif (temp > 20) {\n if (temp < 30) {\n System.out.println(""快適"");\n } else {\n System.out.println(""暑い"");\n }\n} else {\n System.out.println(""寒い"");\n}",快適,暑い,寒い,快適\n暑い,A
2306,"int i = 5;\nString s = (i < 5) ? """"L"""" : (i > 5) ? """"G"""" : """"E"""";\nSystem.out.println(s);",L,G,E,i,C
2307,"int j = 10;\nif (j > 5) {\n if (j < 15) {\n System.out.println(""Mid"");\n } else {\n System.out.println(""Large"");\n }\n} else {\n System.out.println(""Small"");\n}",Mid,Large,Small,Mid\nLarge,A
2308,int k = 1;\nint res = (k == 1) ? 10 : 20;\nSystem.out.println(res);,10,20,1,エラー,A
2309,"int l = 10;\nString s = (l % 2 == 0) ? ""Even"" : ""Odd"";\nSystem.out.println(s);",Even,Odd,10,エラー,A
2310,"int m = 0;\nif (m >= 0) {\n if (m == 0) {\n System.out.println(""Zero"");\n } else {\n System.out.println(""Positive"");\n }\n} else {\n System.out.println(""Negative"");\n}",Zero,Positive,Negative,Zero\nPositive,A
2311,"int n = 7;\nString s = (n % 2 != 0) ? ""Odd"" : ""Even"";\nSystem.out.println(s);",Odd,Even,7,エラー,A
2312,"int p = 1;\nif (p == 1) {\n if (p != 0) {\n System.out.println(""One"");\n } else {\n System.out.println(""Zero"");\n }\n} else {\n System.out.println(""Other"");\n}",One,Zero,Other,One\nZero,A
2313,int q = 2;\nint r = (q > 5) ? 1 : (q < 5) ? 2 : 3;\nSystem.out.println(r);,1,2,3,5,B
2314,"int j = 100;\nif (j >= 100) {\n System.out.println(""Full"");\n} else {\n System.out.println(""NotFull"");\n}",Full,NotFull,100,エラー,A
2315,"int a = 0;\nif (a == 0) {\n System.out.println(""Z"");\n}\nif (a >= 0) {\n System.out.println(""W"");\n}",Z,W,Z\nW,エラー,C
2316,"int b = 6;\nif (b < 5) {\n System.out.println(""A"");\n} else if (b == 6) {\n System.out.println(""B"");\n}",A,B,何も表示されない,6,B
2317,"int c = 9;\nif (c < 9) {\n System.out.println(""Low"");\n} else if (c > 9) {\n System.out.println(""High"");\n} else {\n System.out.println(""Middle"");\n}",Low,High,Middle,9,C
2318,"int d = 2;\nString res = (d % 2 == 0) ? ""Even"" : ""Odd"";\nSystem.out.println(res);",Even,Odd,2,エラー,A
2319,"int e = 3;\nif (e > 3) {\n System.out.println(""Over"");\n} else {\n System.out.println(""NotOver"");\n}",Over,NotOver,3,エラー,B
