ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1001,int a = 3 + 2;\nSystem.out.println(a);\n出力結果は？,1,5,6,32,B
1002,int a = 10 + 5;\nSystem.out.println(a);\n出力結果は？,15,50,105,2,A
1003,int x = 0 + 7;\nSystem.out.println(x);\n出力結果は？,0,7,7,エラー,B
1004,int num = 100 + 200;\nSystem.out.println(num);\n出力結果は？,100200,200,300,1200,C
1005,int a = 8 - 3;\nSystem.out.println(a);\n出力結果は？,5,11,-5,24,A
1006,int b = 10 - 10;\nSystem.out.println(b);\n出力結果は？,10,1,0,-10,C
1007,int c = 5 - 8;\nSystem.out.println(c);\n出力結果は？,3,-3,13,0,B
1008,int val = 100 - 1;\nSystem.out.println(val);\n出力結果は？,101,99,100,0,B
1009,int a = 20; int b = 10;\nSystem.out.println(a - b);\n出力結果は？,30,-10,10,200,C
1010,int a = 1; int b = 2;\nSystem.out.println(a + b);\n出力結果は？,12,3,12,エラー,B
1011,int a = 1; int b = 2; int c = 3;\nSystem.out.println(a+b+c);\n出力結果は？,123,6,5,エラー,B
1012,int zero = 0;\nSystem.out.println(0 + zero);\n出力結果は？,0,1,10,エラー,A
