ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1001,int a = 3 + 2;\nSystem.out.println(a);\n出力結果は？,1,5,6,32,B
1002,int a = 10 + 5;\nSystem.out.println(a);\n出力結果は？,15,50,105,2,A
1003,int x = 0 + 7;\nSystem.out.println(x);\n出力結果は？,0,7,7,エラー,B
1004,int num = 100 + 200;\nSystem.out.println(num);\n出力結果は？,100200,200,300,1200,C
1005,int a = 8 - 3;\nSystem.out.println(a);\n出力結果は？,5,11,-5,24,A
1006,int b = 10 - 10;\nSystem.out.println(b);\n出力結果は？,10,1,0,-10,C
1007,int c = 5 - 8;\nSystem.out.println(c);\n出力結果は？,3,-3,13,0,B
1008,int val = 100 - 1;\nSystem.out.println(val);\n出力結果は？,101,99,100,0,B
1009,int a = 20; int b = 10;\nSystem.out.println(a - b);\n出力結果は？,30,-10,10,200,C
1010,int a = 1; int b = 2;\nSystem.out.println(a + b);\n出力結果は？,12,3,12,エラー,B
1011,int a = 1; int b = 2; int c = 3;\nSystem.out.println(a+b+c);\n出力結果は？,123,6,5,エラー,B
1012,int zero = 0;\nSystem.out.println(0 + zero);\n出力結果は？,0,1,10,エラー,A
1101,int a = 1; a++;\nSystem.out.println(a);\n出力結果は？,1,2,3,0,B
1102,int a = 5; a++;\nSystem.out.println(a);\n出力結果は？,5,6,4,55,B
1103,int a = 10; a--;\nSystem.out.println(a);\n出力結果は？,10,11,9,-10,C
1104,int a = 0; a--;\nSystem.out.println(a);\n出力結果は？,0,1,-1,エラー,C
1105,int a = 10; a = a + 5;\nSystem.out.println(a);\n出力結果は？,10,5,15,50,C
1106,int x = 2; x += 3;\nSystem.out.println(x);\n出力結果は？,2,3,5,6,C
1107,int x = 10; x -= 2;\nSystem.out.println(x);\n出力結果は？,12,8,-2,20,B
1108,int x = 5; x *= 2;\nSystem.out.println(x);\n出力結果は？,7,10,25,2.5,B
1109,int num = 10; num = num + 1;\nSystem.out.println(num);\n出力結果は？,10,11,1,101,B
1110,int a = 2 + 3 * 2;\nSystem.out.println(a);\n出力結果は？,10,8,12,7,B
1111,int a = 2 * 3 + 2;\nSystem.out.println(a);\n出力結果は？,8,10,12,7,A
1112,int a = (2 + 3) * 2;\nSystem.out.println(a);\n出力結果は？,10,8,7,25,A
1113,int a = 10 - 2 * 3;\nSystem.out.println(a);\n出力結果は？,24,16,4,8,C
1114,int a = 5 / 2 + 1;\nSystem.out.println(a);\n出力結果は？,3.5,3,2,4,B
1115,int a = 10 % 3 + 1;\nSystem.out.println(a);\n出力結果は？,2,1,4,0,A
1116,int ans = 3 + 4 * 0;\nSystem.out.println(ans);\n出力結果は？,0,3,7,12,B
1117,int a = 10; int b = a;\nSystem.out.println(b);\n出力結果は？,0,10,a,b,B
1118,int a = 5; int b = a + 2;\nSystem.out.println(b);\n出力結果は？,5,2,7,52,C
1119,int a = 3; int b = a * a;\nSystem.out.println(b);\n出力結果は？,3,6,9,33,C
1120,int x = 100; x = 200;\nSystem.out.println(x);\n出力結果は？,100,200,300,エラー,B
1121,int a = 10; a = a + a;\nSystem.out.println(a);\n出力結果は？,10,20,100,0,B
1201,int x = 3 * 4;\nSystem.out.println(x);\n出力結果は？,7,12,34,1,B
1202,int y = 5 * 5;\nSystem.out.println(y);\n出力結果は？,10,25,55,0,B
1203,int a = 10 * 0;\nSystem.out.println(a);\n出力結果は？,10,100,0,エラー,C
1204,int a = 1 * 9;\nSystem.out.println(a);\n出力結果は？,1,9,19,10,B
1205,int num = 100 * 2;\nSystem.out.println(num);\n出力結果は？,102,200,1002,50,B
1206,int a = 2 * 2 * 2;\nSystem.out.println(a);\n出力結果は？,6,8,16,4,B
1207,int a = 6 / 2;\nSystem.out.println(a);\n出力結果は？,3,4,12,8,A
1208,int b = 10 / 5;\nSystem.out.println(b);\n出力結果は？,50,5,15,2,D
1209,int c = 8 / 4;\nSystem.out.println(c);\n出力結果は？,2,4,32,12,A
1210,int x = 5 / 2;\nSystem.out.println(x);\n出力結果は？,2.5,2,3,52,B
1211,int y = 10 / 3;\nSystem.out.println(y);\n出力結果は？,3.33,3,4,13,B
1212,int z = 1 / 2;\nSystem.out.println(z);\n出力結果は？,0.5,1,2,0,D
1213,int a = 7 / 2;\nSystem.out.println(a);\n出力結果は？,3.5,4,3,14,C
1214,int a = 9 / 10;\nSystem.out.println(a);\n出力結果は？,0.9,1,90,0,D
1215,int a = 4 / 4;\nSystem.out.println(a);\n出力結果は？,1,0,16,44,A
1216,int a = 5 % 2;\nSystem.out.println(a);\n出力結果は？,2,1,2.5,0,B
1217,int b = 10 % 3;\nSystem.out.println(b);\n出力結果は？,3,0,1,30,C
1218,int c = 4 % 2;\nSystem.out.println(c);\n出力結果は？,2,1,0,4,C
1219,int d = 7 % 4;\nSystem.out.println(d);\n出力結果は？,3,1,4,1.75,A
1220,int e = 1 % 3;\nSystem.out.println(e);\n出力結果は？,0,1,3,エラー,B
1221,int f = 10 % 10;\nSystem.out.println(f);\n出力結果は？,1,10,100,0,D
1222,int g = 11 % 10;\nSystem.out.println(g);\n出力結果は？,1,0,11,1.1,A
1223,int x = 50; int y = 2;\nSystem.out.println(x / y);\n出力結果は？,25,100,502,48,A
