ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1101,int a = 1; a++;\nSystem.out.println(a);\n出力結果は？,1,2,3,0,B
1102,int a = 5; a++;\nSystem.out.println(a);\n出力結果は？,5,6,4,55,B
1103,int a = 10; a--;\nSystem.out.println(a);\n出力結果は？,10,11,9,-10,C
1104,int a = 0; a--;\nSystem.out.println(a);\n出力結果は？,0,1,-1,エラー,C
1105,int a = 10; a = a + 5;\nSystem.out.println(a);\n出力結果は？,10,5,15,50,C
1106,int x = 2; x += 3;\nSystem.out.println(x);\n出力結果は？,2,3,5,6,C
1107,int x = 10; x -= 2;\nSystem.out.println(x);\n出力結果は？,12,8,-2,20,B
1108,int x = 5; x *= 2;\nSystem.out.println(x);\n出力結果は？,7,10,25,2.5,B
1109,int num = 10; num = num + 1;\nSystem.out.println(num);\n出力結果は？,10,11,1,101,B
1110,int a = 2 + 3 * 2;\nSystem.out.println(a);\n出力結果は？,10,8,12,7,B
1111,int a = 2 * 3 + 2;\nSystem.out.println(a);\n出力結果は？,8,10,12,7,A
1112,int a = (2 + 3) * 2;\nSystem.out.println(a);\n出力結果は？,10,8,7,25,A
1113,int a = 10 - 2 * 3;\nSystem.out.println(a);\n出力結果は？,24,16,4,8,C
1114,int a = 5 / 2 + 1;\nSystem.out.println(a);\n出力結果は？,3.5,3,2,4,B
1115,int a = 10 % 3 + 1;\nSystem.out.println(a);\n出力結果は？,2,1,4,0,A
1116,int ans = 3 + 4 * 0;\nSystem.out.println(ans);\n出力結果は？,0,3,7,12,B
1117,int a = 10; int b = a;\nSystem.out.println(b);\n出力結果は？,0,10,a,b,B
1118,int a = 5; int b = a + 2;\nSystem.out.println(b);\n出力結果は？,5,2,7,52,C
1119,int a = 3; int b = a * a;\nSystem.out.println(b);\n出力結果は？,3,6,9,33,C
1120,int x = 100; x = 200;\nSystem.out.println(x);\n出力結果は？,100,200,300,エラー,B
1121,int a = 10; a = a + a;\nSystem.out.println(a);\n出力結果は？,10,20,100,0,B
