ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1201,int x = 3 * 4;\nSystem.out.println(x);\n出力結果は？,7,12,34,1,B
1202,int y = 5 * 5;\nSystem.out.println(y);\n出力結果は？,10,25,55,0,B
1203,int a = 10 * 0;\nSystem.out.println(a);\n出力結果は？,10,100,0,エラー,C
1204,int a = 1 * 9;\nSystem.out.println(a);\n出力結果は？,1,9,19,10,B
1205,int num = 100 * 2;\nSystem.out.println(num);\n出力結果は？,102,200,1002,50,B
1206,int a = 2 * 2 * 2;\nSystem.out.println(a);\n出力結果は？,6,8,16,4,B
1207,int a = 6 / 2;\nSystem.out.println(a);\n出力結果は？,3,4,12,8,A
1208,int b = 10 / 5;\nSystem.out.println(b);\n出力結果は？,50,5,15,2,D
1209,int c = 8 / 4;\nSystem.out.println(c);\n出力結果は？,2,4,32,12,A
1210,int x = 5 / 2;\nSystem.out.println(x);\n出力結果は？,2.5,2,3,52,B
1211,int y = 10 / 3;\nSystem.out.println(y);\n出力結果は？,3.33,3,4,13,B
1212,int z = 1 / 2;\nSystem.out.println(z);\n出力結果は？,0.5,1,2,0,D
1213,int a = 7 / 2;\nSystem.out.println(a);\n出力結果は？,3.5,4,3,14,C
1214,int a = 9 / 10;\nSystem.out.println(a);\n出力結果は？,0.9,1,90,0,D
1215,int a = 4 / 4;\nSystem.out.println(a);\n出力結果は？,1,0,16,44,A
1216,int a = 5 % 2;\nSystem.out.println(a);\n出力結果は？,2,1,2.5,0,B
1217,int b = 10 % 3;\nSystem.out.println(b);\n出力結果は？,3,0,1,30,C
1218,int c = 4 % 2;\nSystem.out.println(c);\n出力結果は？,2,1,0,4,C
1219,int d = 7 % 4;\nSystem.out.println(d);\n出力結果は？,3,1,4,1.75,A
1220,int e = 1 % 3;\nSystem.out.println(e);\n出力結果は？,0,1,3,エラー,B
1221,int f = 10 % 10;\nSystem.out.println(f);\n出力結果は？,1,10,100,0,D
1222,int g = 11 % 10;\nSystem.out.println(g);\n出力結果は？,1,0,11,1.1,A
1223,int x = 50; int y = 2;\nSystem.out.println(x / y);\n出力結果は？,25,100,502,48,A
