BoxId,ItemId
1,10001
2,10001
3,10001
4,10001
5,10001
6,10002
7,10002
8,10002
9,10002
10,10002
11,10003
12,10003
13,10003
14,10003
15,10003
16,10004
17,10004
18,10004
19,10004
20,10004
21,10005
22,10005
23,10005
24,10005
25,10005
26,10006
27,10006
28,10006
29,10006
30,10006
31,10007
32,10007
33,10007
34,10007
35,10007
36,10008
37,10008
38,10008
39,10008
40,10008
41,10009
42,10009
43,10009
44,10009
45,10009
46,10010
47,10010
48,10010
49,10010
50,10010
51,10011
52,10011
53,10011
54,10011
55,10011
46,10010
47,10010
48,10010
49,10010
50,10010
51,10011
52,10011
53,10011
54,10011
55,10011
56,10012
57,10012
58,10012
59,10012
60,10012
61,10013
62,10013
63,10013
64,10013
65,10013
66,10014
67,10014
68,10014
69,10014
70,10014
71,10015
72,10015
73,10015
74,10015
75,10015
160,20001
170,20002
180,20003
190,20004
200,20005
210,30001
220,30002
230,30003
240,30004
250,30005
260,30006
270,30007
280,30008
290,30009
300,30010
